aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
AVIÃO;BRASIL;EMBRAER;EMB-820C NAVAJO;1976;10;PISTÃO;BIMOTOR;POUSO;SUBSTANCIAL;0;43628;PTEHG;***;PA31;3175;3175;BRASIL;AVIÃO;TÁXI AÉREO;DEPUTADO LUÍS EDUARDO MAGALHÃES;FAZENDA PONTAL;TÁXI AÉREO
HELICÓPTERO;BRASIL;ROBINSON HELICOPTER;R22 BETA;1991;2;PISTÃO;MONOMOTOR;MANOBRA;SUBSTANCIAL;0;43629;PTHVW;***;R22;621;621;BRASIL;HELICÓPTERO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;AIR TRACTOR;AT-401B;1994;1;PISTÃO;MONOMOTOR;ESPECIALIZADA;LEVE;0;43630;PTXRK;ESPECIALIZADA;AT3P;2722;2722;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
AVIÃO;BRASIL;BOEING COMPANY;737-8EH;2009;197;JATO;BIMOTOR;DESCIDA;NENHUM;0;43631;PRGGM;REGULAR;B738;70533;70533;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;EMBRAER;EMB-145LR;2001;54;JATO;BIMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43633;PRPSK;***;E145;21990;21990;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;BRASIL;AEROSPATIALE AND ALENIA;ATR-42-320;1993;50;TURBOÉLICE;BIMOTOR;DECOLAGEM;LEVE;0;43634;PTMFJ;REGULAR;AT43;16700;16700;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;REGULAR
AVIÃO;ESTADOS UNIDOS;MCDONNELL DOUGLAS;DC-10-30F;1980;0;PISTÃO;TRIMOTOR;CORRIDA APÓS POUSO;LEVE;0;43637;N305FE;***;DC10;256280;256280;ESTADOS UNIDOS;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;***
AVIÃO;BRASIL;BEECH AIRCRAFT;B300;0;11;TURBOÉLICE;BIMOTOR;TÁXI;NENHUM;0;43639;PRJFC;PARTICULAR;B350;6804;6804;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;PRIVADA
AVIÃO;BRASIL;AERO BOERO;AB-115;1993;3;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;LEVE;0;43642;PPGNI;INSTRUÇÃO;AB11;770;770;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
AVIÃO;BRASIL;XAVANTE;A-122-B;1978;2;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;NENHUM;0;43643;PPKBS;INSTRUÇÃO;A122;840;840;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;INSTRUÇÃO
